Branch,examples
"AD Artificial Intel, Data Sc","[{'College_Code': 'E016', 'College_Name': 'Siddaganga Institute of Technology Tumkur'}, {'College_Code': 'E103', 'College_Name': 'Global Academy of Technology Bangalore'}, {'College_Code': 'E106', 'College_Name': 'East West Institute of Technology Bangalore'}, {'College_Code': 'E185', 'College_Name': 'Angadi Institute of Technology and Management Belgaum'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}]"
AE Aeronaut.Engg,"[{'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E014', 'College_Name': 'S J C Institute of Technology Chickballapur'}, {'College_Code': 'E037', 'College_Name': 'K.L.S. Gogte Institute of Technology Belgaum'}, {'College_Code': 'E042', 'College_Name': 'Khaja Banda Nawaz University Kalburgi'}]"
AI Artificial Intelligence,"[{'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E008', 'College_Name': 'Bangalore Institute of Technology Bangalore'}, {'College_Code': 'E011', 'College_Name': 'M V J College of Engineering Bangalore'}, {'College_Code': 'E038', 'College_Name': 'B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur'}, {'College_Code': 'E044', 'College_Name': 'Bheemanna Khandre Institute of Technology Bhalki'}]"
AM B Tech in AM,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E141', 'College_Name': 'P E S University (Electronic City Campus) Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}]"
AR Architecture,"[{'College_Code': 'E001', 'College_Name': 'University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. )'}, {'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E038', 'College_Name': 'B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur'}, {'College_Code': 'E190', 'College_Name': 'Acharya N R V School of Architecture Hesarghatta Main Road Banglore'}, {'College_Code': 'E212', 'College_Name': 'Dayananda Sagar Academy of Technology Kanakapur Main Road Bangalore'}]"
AT Automotive Engg.,"[{'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}]"
AU Automobile,"[{'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E023', 'College_Name': 'P E S College of Engineering Mandya'}, {'College_Code': 'E032', 'College_Name': 'R.T.E Socity`s Rural Engineering College Hulkoti'}, {'College_Code': 'E038', 'College_Name': 'B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur'}, {'College_Code': 'E047', 'College_Name': 'Malnad College of Engineering Hassan'}]"
BA B.Tech(Agri.Engg),"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
BB B Tech in EC,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E141', 'College_Name': 'P E S University (Electronic City Campus) Bangalore'}, {'College_Code': 'E193', 'College_Name': 'Srinivas University Mukka, Suratkal, Mangalore'}, {'College_Code': 'E198', 'College_Name': 'Sharnbasva University College for Women(Formerly Godutai) Gulbarga'}]"
BC Computer Tech.,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road,  Bangalore'}]"
BD CS- Big Data,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
BE Bio-Electronics Engg.,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
BF B Tech in DS,"[{'College_Code': 'E287', 'College_Name': 'Vidyashilp University Bangalore'}]"
BG B Tech in AD,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E279', 'College_Name': 'Visvesvaraya Technological University Belgaum'}, {'College_Code': 'E289', 'College_Name': 'Visvesvaraya Technological University - Regional Center Rajapur,Kalburgi'}, {'College_Code': 'E290', 'College_Name': 'Visvesvaraya Technological University - Regional Center Mysore'}]"
BH B Tech in AI,"[{'College_Code': 'E193', 'College_Name': 'Srinivas University Mukka, Suratkal, Mangalore'}, {'College_Code': 'E198', 'College_Name': 'Sharnbasva University College for Women(Formerly Godutai) Gulbarga'}, {'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}]"
BI Information Tech.,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}]"
BJ B Tech in EE,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E198', 'College_Name': 'Sharnbasva University College for Women(Formerly Godutai) Gulbarga'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
BK B Tech in EN,"[{'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}]"
BL B Tech in AS,"[{'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E235', 'College_Name': 'M.S. Ramaiah University of Applied Sciences Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}]"
BM Bio Medical,"[{'College_Code': 'E036', 'College_Name': 'K L E Dr. M S Sheshagiri College of Engineering and Technology Belgaum'}, {'College_Code': 'E124', 'College_Name': 'Rajiv Gandhi Institute of Technology R.T Nagar Post, Bangalore'}, {'College_Code': 'E186', 'College_Name': 'ACS College of Engineering Kengeri Hobli,Bangalore'}, {'College_Code': 'E036', 'College_Name': 'KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.) Belgaum'}, {'College_Code': 'E017', 'College_Name': 'Sri Siddartha Institute of Technology Tumkur'}]"
BN B Tech in BD,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
BO B Tech in BT,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E302', 'College_Name': 'AMITY UNIVERSITY DEVANAHALLI ,BANAGLORE'}]"
BP B Tech in CE,"[{'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E193', 'College_Name': 'Srinivas University Mukka, Suratkal, Mangalore'}, {'College_Code': 'E198', 'College_Name': 'Sharnbasva University College for Women(Formerly Godutai) Gulbarga'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}]"
BQ B Tech in CG,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Kanakapura road, Ramanagar'}]"
BR BioMed. and Robotic Engg,"[{'College_Code': 'E283', 'College_Name': 'University of Mysore Mysore'}, {'College_Code': 'E283', 'College_Name': 'University of Mysore HUNSUR ROAD, MYSORE'}]"
BS B.Sc (Honours),"[{'College_Code': 'E014', 'College_Name': 'S J C Institute of Technology Chickballapur'}, {'College_Code': 'E028', 'College_Name': 'Tontadarya College of Engineering Gadag'}, {'College_Code': 'E037', 'College_Name': 'K.L.S. Gogte Institute of Technology Belgaum'}, {'College_Code': 'E044', 'College_Name': 'Bheemanna Khandre Institute of Technology Bhalki'}, {'College_Code': 'E045', 'College_Name': 'Rao Bahadur Y.Mahabaleswarappa Engineering College Bellari'}]"
BT Bio Technology,"[{'College_Code': 'E005', 'College_Name': 'R. V. College of Engineering Bangalore'}, {'College_Code': 'E006', 'College_Name': 'M S Ramaiah Institute of Technology Bangalore'}, {'College_Code': 'E007', 'College_Name': 'Dayananda Sagar College of Engineering Bangalore'}, {'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E012', 'College_Name': 'Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,'}]"
BU B Tech in CI,"[{'College_Code': 'E232', 'College_Name': 'Reva University Bangalore'}, {'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
BV B Tech in CO,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E257', 'College_Name': 'CMR University CHAGALATTI, BANGALORE'}]"
BW B Tech in CS,"[{'College_Code': 'E009', 'College_Name': 'P E S University (Ring Road Campus) Bangalore'}, {'College_Code': 'E128', 'College_Name': 'Sharnbasva University(Formerly Appa Inst. of Tech.) Brahmpur, Kalaburagi'}, {'College_Code': 'E141', 'College_Name': 'P E S University (Electronic City Campus) Bangalore'}, {'College_Code': 'E193', 'College_Name': 'Srinivas University Mukka, Suratkal, Mangalore'}, {'College_Code': 'E198', 'College_Name': 'Sharnbasva University College for Women(Formerly Godutai) Gulbarga'}]"
BX B Tech in CY,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}, {'College_Code': 'E239', 'College_Name': 'East West College of Engineering Yelahanka New Town, Bangalore'}, {'College_Code': 'E220', 'College_Name': 'Alliance University Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Hosur Road, Bangalore'}, {'College_Code': 'E240', 'College_Name': 'Dayananda Sagar University Kanakapura road, Ramanagar'}]"
BY B Tech in DO,"[{'College_Code': 'E237', 'College_Name': 'Presidency University Yelahanka, Bangalore'}]"
